"danceability","energy","loudness","mode","key","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","virality"
0.732,0.511,-5.101,"1","11",0.0413,0.15,8.92e-06,0.059,0.691,171.907,"4",161423,"No"
0.61,0.508,-6.682,"0","8",0.152,0.297,0,0.384,0.758,178.818,"4",137876,"No"
0.646,0.765,-7.586,"0","6",0.0448,0.0437,0.000141,0.159,0.362,126.024,"4",146667,"No"
0.855,0.463,-7.454,"1","3",0.0367,0.217,1.77e-05,0.347,0.866,102.931,"4",122773,"No"
0.87,0.523,-8.052,"0","1",0.0602,0.433,2.07e-05,0.113,0.319,110.02,"4",204764,"Yes"
0.642,0.61,-9.194,"0","2",0.0992,0.16,6.89e-06,0.408,0.294,129.886,"3",168000,"No"
0.737,0.846,-4.51,"0","1",0.22,0.00614,0,0.0486,0.546,87.981,"4",143901,"No"
0.871,0.819,-6.022,"0","4",0.256,0.142,0,0.106,0.712,112.114,"4",198982,"No"
0.795,0.8,-6.32,"1","1",0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,"4",202735,"No"
0.864,0.412,-5.886,"1","1",0.273,0.458,0.00087,0.124,0.654,99.992,"4",97209,"Yes"
0.912,0.594,-4.894,"0","10",0.226,0.0319,0.00122,0.123,0.514,123.07,"4",234093,"No"
0.796,0.731,-7.725,"0","7",0.0669,0.529,0.239,0.143,0.498,120.067,"4",174000,"No"
0.681,0.865,-4.542,"0","11",0.198,0.282,0.000169,0.33,0.494,123.056,"4",148293,"No"
0.7,0.49,-5.187,"1","0",0.076,0.186,0,0.117,0.569,79.982,"4",161803,"Yes"
0.708,0.782,-4.687,"1","2",0.0674,0.00772,0,0.107,0.484,119.997,"4",160880,"Yes"
0.698,0.78,-6.251,"1","6",0.0626,0.157,0.0325,0.309,0.203,122.076,"4",177956,"No"
0.725,0.446,-8.958,"0","4",0.0287,0.85,0.243,0.107,0.311,90.024,"4",187333,"Yes"
0.748,0.894,-4.677,"1","7",0.0998,0.311,2.9e-05,0.239,0.503,120.004,"4",148000,"No"
0.815,0.848,-4.704,"0","4",0.115,0.023,0.000162,0.0265,0.684,106.032,"4",133707,"No"
0.535,0.388,-9.805,"0","7",0.155,0.507,0,0.11,0.412,106.703,"5",174000,"Yes"
0.592,0.719,-5.044,"1","2",0.0452,0.00858,0,0.635,0.169,125.03,"4",171028,"No"
0.745,0.862,-4.18,"1","8",0.116,0.335,0.000623,0.102,0.738,123.979,"4",138453,"No"
0.807,0.898,-5.837,"0","6",0.0393,0.188,0.000395,0.0824,0.743,112.998,"4",227101,"Yes"
0.773,0.74,-5.052,"0","5",0.0315,0.00779,2.48e-05,0.15,0.659,125.981,"4",160026,"No"
0.824,0.764,-4.175,"0","5",0.0854,0.0888,0.00294,0.117,0.881,107.998,"4",172627,"Yes"
0.586,0.616,-7.964,"1","5",0.0324,0.182,0,0.0927,0.719,148.088,"4",242096,"Yes"
0.646,0.471,-9.247,"1","10",0.157,0.122,0,0.125,0.455,170.084,"4",232813,"No"
0.69,0.741,-7.405,"1","7",0.0363,0.0433,0.00429,0.0975,0.0774,125.985,"4",146190,"No"
0.736,0.751,-5.588,"1","8",0.034,0.0381,0,0.105,0.839,150.064,"4",209722,"Yes"
0.771,0.932,-3.727,"0","7",0.0424,0.311,0.000158,0.116,0.139,120.012,"4",155000,"No"
0.645,0.868,-6.861,"0","8",0.0828,0.0661,0.00471,0.241,0.51,120.009,"4",197000,"No"
0.762,0.701,-3.541,"1","8",0.0286,0.235,0.000158,0.123,0.742,110.968,"4",208867,"Yes"
0.714,0.8,-4.808,"0","11",0.0504,0.127,0,0.359,0.589,134.002,"4",211560,"Yes"
0.656,0.778,-6.838,"1","8",0.265,0.4,0,0.533,0.736,125.916,"4",129717,"No"
0.563,0.664,-5.044,"1","9",0.154,0.335,0,0.0849,0.688,166.928,"4",178147,"No"
0.724,0.692,-4.997,"1","5",0.109,0.074,0,0.0937,0.419,134.088,"4",152126,"No"
0.691,0.829,-7.179,"1","0",0.0412,0.0289,0,0.254,0.866,93.059,"4",169154,"No"
0.701,0.836,-6.521,"1","9",0.275,0.0304,0.000143,0.635,0.373,124.953,"4",157320,"No"
0.498,0.59,-4.721,"0","1",0.032,0.511,0,0.107,0.0784,145.867,"4",217867,"No"
0.764,0.793,-6.506,"0","5",0.0709,0.0132,0.00098,0.319,0.127,124.084,"4",129677,"No"
0.778,0.695,-6.865,"0","4",0.0913,0.175,0,0.15,0.472,149.996,"4",132780,"Yes"
0.615,0.829,-4.567,"1","6",0.0421,0.0555,0.00156,0.426,0.0754,124.013,"4",203226,"No"
0.659,0.721,-6.877,"1","7",0.264,0.501,0,0.109,0.454,124.791,"4",144935,"No"
0.918,0.434,-9.541,"1","9",0.173,0.569,3.14e-06,0.123,0.75,109.997,"4",188735,"Yes"
0.806,0.845,-4.753,"1","11",0.19,0.0825,0,0.26,0.508,125.998,"4",128095,"No"
0.677,0.71,-7.108,"1","8",0.0552,0.532,0,0.337,0.325,126.109,"4",129410,"No"
0.746,0.866,-3.113,"0","9",0.148,0.124,1.26e-05,0.596,0.519,128.054,"4",138750,"No"
