"virality","loudness","acousticness","danceability","duration_ms","speechiness","instrumentalness","key"
"No",0.762937407589946,0.447132896243105,0.728287841191067,0.467893151608889,0.0784758448627807,7.13525026624068e-06,1
"No",0.754290066759263,0.622952765636383,0.635235732009926,0.452221744136014,0.0116806532093445,6.17678381256656e-05,0.0909090909090909
"No",0.826381110264797,0.0388852573108544,0.517369727047146,0.242290472258725,0.0261964164209571,0,0.0909090909090909
"No",0.89605269053273,0.0168315511499636,0.501240694789082,0.325366608133409,0.100703107280562,0.00385516506922258,0.0909090909090909
"No",0.701509924279762,0.0231326100530752,0.292803970223325,0.341468293193474,0.0243819460195056,0,0.363636363636364
"No",0.76343026121242,0.0287222590800291,0.779156327543424,0.226460908699748,0.176684055341347,0,0.909090909090909
"No",0.905416909359738,0.0935621877926944,0.689826302729528,0.170813224639788,0.0401451576321161,0.121405750798722,0.181818181818182
"No",0.845781621040369,0.0027253096055781,0.411910669975186,0.397890476910374,0.00941256520753005,0,1
"No",0.81002733097361,0.00595714304298054,0.791563275434243,0.227586607900827,0.0123610796098889,0,0.454545454545455
"No",0.863389936825126,0.0871594989072744,0.250620347394541,0.295728622762847,0.0585166704468133,0,0.636363636363636
"No",0.801021551144764,0.738810945467791,0.452853598014888,0.325820143968555,0.00408255840326605,0,0.909090909090909
"No",0.820332452170796,0.0385803673639296,0.614143920595534,0.3447453803305,0.144930823315945,0,0
"No",0.657825171378646,0.632099464044125,0.810173697270472,0.228735565349862,0.0782490360625992,0.000104259850905218,0.454545454545455
"No",0.786370357094852,0.184927541887814,0.722084367245658,0.391759602749125,0.0168972556135178,0,0.727272727272727
"No",0.642681123706259,0.271313026849828,0.660049627791563,0.191938691258388,0.0189385348151508,0.0204472843450479,0.0909090909090909
"No",0.798422868408083,0.0593128837548132,0.554590570719603,0.31351885662453,0.286686323429349,1.18210862619808e-06,0.272727272727273
"No",0.887853398449751,0.012156571963784,0.166253101736973,0.281755067390773,0.166477659333182,0.00109691160809372,1
"No",0.71678838657646,0.0155103613799563,0.74317617866005,0.290839739042458,0.00533000680426401,0.000205537806176784,0.181818181818182
"No",0.805009184999328,0.0375640675408471,0.584367245657568,0.244239513437453,0.129054207303243,0,0.363636363636364
"No",0.708589094493481,0.137161450202935,0.699751861042184,0.3869428195974,0.435246087548197,0,0.909090909090909
"No",0.82324476903087,0.0455928361431991,0.581885856079404,0.337200404693514,0.0416194148332955,0,0.454545454545455
"No",0.86733276580492,0.353633312519513,0.741935483870968,0.260852879952553,0.0281242912224994,0.422790202342918,0.818181818181818
"No",0.672386755679018,0.334323615880945,0.746898263027295,0.339182007419381,0.118847811295078,0,0.363636363636364
"No",0.873650253147542,0.00935158445207618,0.475186104218362,0.356893163238013,0.0327738716262191,0.000753993610223642,0
