"virality","loudness","acousticness","danceability","duration_ms","speechiness","instrumentalness","key"
"No",0.832922621981271,0.347535513581018,0.429280397022333,0.301592027072601,0.0345883420276707,0.00107561235356763,0.545454545454545
"No",0.873874277521394,0.240824032157353,0.687344913151365,0.315728390180368,0.273077795418462,0,1
"No",0.797213136789283,0.0257749895930898,0.906947890818859,0.317047132839483,0.0870945792696757,1.03407880724175e-05,0.727272727272727
"No",0.768134773063309,0.00528638515974607,0.681141439205955,0.253140444930283,0.0612383760489907,1.22470713525027e-05,0.0909090909090909
"Yes",0.817061696312559,0.303834621188469,0.646401985111663,0.304613273482109,0.0273304604218644,0,0.363636363636364
"No",0.929118688113267,0.0373608075762306,0.735732009925558,0.286890488539498,0.0666817872533454,0,1
"Yes",0.82920381737533,0.154438547195338,0.791563275434243,0.363233361630868,0.0658879564527104,0.00270500532481363,0.363636363636364
"No",0.704467046014606,0.108705055156624,0.482630272952854,0.330078729169332,0.0489907008391926,1.12886048988285e-05,0
"No",0.712173484475111,0.00606893602351962,0.552109181141439,0.300433766324383,0.083692447266954,0,0.0909090909090909
"Yes",0.738832384963484,0.00279645059319388,0.455334987593052,0.299733693060902,0.138126559310501,0.000542066027689031,1
"No",0.844795913795421,0.0823828897387866,0.707196029776675,0.328594852949727,0.0840326604672261,1.19275825346113e-05,0.818181818181818
"No",0.800259868273668,0.0617520033302113,0.754342431761787,0.275303229407729,0.0357223860285779,0.00435569755058573,0.909090909090909
"No",0.776916528518303,0.169683044541576,0.772952853598015,0.324331616099359,0.0125878884100703,0.0001395101171459,0
"No",0.689815851964694,0.70628935112915,0.336228287841191,0.480813108348548,0.0167838512134271,1.75718849840256e-05,0.363636363636364
"No",0.847932255029347,0.0118516820168592,0.755583126550869,0.250093614448024,0.339986391471989,0,1
"No",0.817016891437788,0.106672455510459,0.640198511166253,0.344336035166471,0.318439555454752,0.000356762513312034,0.545454545454545
"Yes",0.905775348357901,0.0476254357893641,0.786600496277916,0.44983544789571,0.0108868224087095,3.34398296059638e-05,1
"No",0.86621264393566,0.302818321365387,0.669975186104218,0.326366712795525,0.0244953504195963,0,0.909090909090909
"No",0.912451274698687,0.0948833775627017,0.830024813895782,0.438315637683013,0.0624858244499887,0,0.363636363636364
"No",0.732201263497468,0.0443732763555001,0.58560794044665,0.253596306590225,0.0222272624177818,0.000150159744408946,0.545454545454545
"No",0.660155024866705,0.162568945779998,0.580645161290323,0.303213126955146,0.0839192560671354,7.33759318423855e-06,0.181818181818182
"No",0.870021058291142,0.00620105500052035,0.698511166253102,0.247163075205545,0.220911771376729,0,0.0909090909090909
"No",0.802276087638335,0.144275548964512,0.864764267990074,0.375271830772988,0.26173735540939,0,0.363636363636364
"No",0.852815986379318,0.0323809384431262,0.915632754342432,0.456933865171937,0.227716035382173,0.00129925452609159,0.909090909090909
"No",0.86858730229849,0.286557524196066,0.629032258064516,0.2573780977079,0.19596280335677,0.000179978700745474,1
"Yes",0.839688158071598,0.188992741180144,0.652605459057072,0.288799990696701,0.0576094352460875,0,0
"Yes",0.862090595456786,0.00780680872099074,0.662531017369727,0.286653254410345,0.0478566568382853,0,0.181818181818182
"No",0.884806666965366,0.34042141481944,0.708436724565757,0.234491981719017,0.102971195282377,0.000663471778487753,0.727272727272727
"Yes",0.821721403288678,0.0386819973462379,0.69727047146402,0.400251189077927,0.00997958720798367,0,0.727272727272727
"No",0.905103275236346,0.31603021906546,0.740694789081886,0.272977404612111,0.0195055568156044,0.000168264110756124,0.636363636363636
"No",0.846095255163762,0.34042141481944,0.482630272952854,0.326813271156284,0.146064867316852,0,0.818181818181818
"No",0.860567229714593,0.519290183681965,0.401985111662531,0.419195032038237,0.0077114992061692,0,0.0909090909090909
"No",0.867467180429231,0.0563656142678739,0.547146401985112,0.385142631205591,0.0191653436153323,0.00166134185303514,0.545454545454545
"No",0.844616694296339,0.00179031376834218,0.673697270471464,0.286134595480922,0.0096393740077115,2.70500532481363e-06,0
"No",0.649760293919978,0.110737654802789,0.636476426799008,0.248967915246944,0.0204127920163302,0.00105005324813632,0.0909090909090909
"No",0.627716295532954,0,0.212158808933003,0.254515007384494,0.0242685416194148,0.674121405750799,0.818181818181818
"Yes",0.806218916618128,0.00144477182849412,0.421836228287841,0.377732553406752,0.0392379224313903,0.000101597444089457,0.0909090909090909
"No",0.748241408665263,0.0919361080757623,0.468982630272953,0.376911537253899,0.191426627353141,2.76890308839191e-05,0.545454545454545
"No",0.800797526770913,0.637180963159538,0.805210918114144,0.277361584351851,0.0128146972102518,0.00107561235356763,0.818181818181818
"No",0.795152112549845,0.326193217296285,0.624069478908189,0.373178588456932,0.106373327285099,0,0
"No",0.784712576728348,0.0166282911853471,0.811414392059553,0.345480340965915,0.0354955772283965,0.00248136315228967,0.727272727272727
"No",0.731573995250683,0.203220938703299,0.676178660049628,0.199162703073577,0.113177591290542,0,0.272727272727273
"No",0.611228101617456,0.0190674107607451,0.852357320099256,0.33326976078892,0.232252211385802,0.000301384451544196,0.727272727272727
"Yes",0.679555535642278,0.732713146529295,0.509925558312655,0.475356723378028,0.0395781356316625,1.395101171459e-05,0.909090909090909
"No",0.796406649043416,0.26013372879592,0.775434243176179,0.367008175274157,0.0610115672488093,0,0.0909090909090909
"No",0.845467986916977,0.0142908015922573,0.462779156327543,0.299384819341559,0.0261964164209571,0,0.636363636363636
"Yes",0.801290380393387,0.00118053387449266,0.861042183622829,0.277501133839588,0.276479927421184,0.0205537806176784,1
"No",0.468658990098123,0.951217608492039,0.518610421836228,0.184682117896059,0.10183715128147,1.72523961661342e-05,0.0909090909090909
"No",0.802724136386039,0.226595834634197,0.669975186104218,0.327078415182984,0.0571558176457247,0,0.545454545454545
"No",0.818316232806129,0.0691709920387137,0.76302729528536,0.30318986870719,0.0453617600362894,0,0.909090909090909
"Yes",0.691563242080738,0.660555859090436,0.663771712158809,0.284606528590201,0.371739623497392,1.69329073482428e-06,0.909090909090909
"No",0.673372462923966,0.0517922650640025,0.734491315136476,0.297631147445663,0.0105466092084373,0,0
"No",0.804157892378691,0.0587031038609637,0.622828784119107,0.226128315753974,0.242458607393967,0.00145899893503727,0.727272727272727
"No",0.71562345983243,0.250987030388178,0.709677419354839,0.33515367887337,0.157405307325924,0,1
"Yes",0.723822751915408,0.221514335518784,0.887096774193548,0.317914665488249,0.050464958040372,0.138445154419595,1
"Yes",0.834087548725301,0.0162217712561141,0.806451612903226,0.401662964728867,0.172147879337718,5.27156549520767e-05,0.727272727272727
"No",0.719745508311304,0.677832956082839,0.854838709677419,0.206258794525008,0.358131095486505,1.82108626198083e-05,0
"No",0.833370670728975,0.08217962977417,0.694789081885856,0.223693177192962,0.246994783397596,0.000122470713525027,1
"Yes",0.625565661543976,0.761169541575606,0.687344913151365,0.25623146608366,0.0419596280335677,0,0.545454545454545
"Yes",0.705452753259555,0.767267340514101,0.930521091811415,0.329087927806398,0.0335677024268542,0.00269435569755059,0.818181818181818
"No",0.812043550338277,0.331274716411697,0.6712158808933,0.232114988777895,0.405760943524609,0.000246006389776358,0.363636363636364
"Yes",0.918231103544065,0.169683044541576,0.689826302729528,0.428389017455315,0.0716715808573373,1.48029818956337e-06,0.363636363636364
"Yes",0.869528204668668,0.0126647218753252,0.769230769230769,0.338774988080148,0.0669085960535269,0,1
"No",0.754514091133115,0.00784746071391404,0.56575682382134,0.31428870463188,0.0232479020185983,0,0.363636363636364
"No",0.774721089654554,0.304850921011552,0.784119106699752,0.407565908060146,0.0366296212293037,0,0.818181818181818
"No",0.819794793673552,0.0197788206369029,0.504962779156327,0.341626449279576,0.0679292356543434,0,0.0909090909090909
"No",0.718580581567274,0.195090540118639,0.580645161290323,0.3696921770883,0.0361760036289408,0,1
"No",0.843944621174784,0.209318737641794,0.684863523573201,0.255224383947157,0.0859605352687684,0,0.363636363636364
"Yes",0.67977956001613,0.124965852325944,0.758064516129032,0.283169168866509,0.012701292810161,0,0.909090909090909
"No",0.741879116447869,0.0283157391507961,0.738213399503722,0.215496970613204,0.0353821728283057,2.09797657082002e-06,0.727272727272727
"Yes",0.679376316143196,0.742876144760121,0.684863523573201,0.315616750590178,0.124518031299614,0,0.727272727272727
"Yes",0.852771181504548,0.0105304922468519,0.779156327543424,0.279285041457827,0.226581991381266,0,0.727272727272727
"Yes",0.820466866795107,0.0530118248517015,0.554590570719603,0.293063227547069,0.139260603311408,0,0.545454545454545
"No",0.792867063936556,0.0892937285357478,0.589330024813896,0.4609342838204,0.0218870492175096,0.0319488817891374,1
"Yes",0.685200949863345,0.0679514322510147,0.834987593052109,0.379021060343524,0.0950328872760263,0,0.818181818181818
"No",0.715757874456741,0.572137774482256,0.678660049627792,0.212098940586806,0.225447947380358,6.81576144834931e-06,1
"No",0.766297773197724,0.577219273597669,0.839950372208437,0.460310962775174,0.028691313222953,0,0
"No",0.779470406380214,0.205253538349464,0.870967741935484,0.320028840227466,0.133590383306872,0,1
"No",0.861015278462297,0.000272978132479967,0.44044665012407,0.420353292786454,0.169879791335904,2.56656017039404e-06,0
"No",0.795152112549845,0.326193217296285,0.624069478908189,0.373178588456932,0.106373327285099,0,0
"No",0.861328912585689,0.0233358700176917,0.795285359801489,0.223453617239013,0.10183715128147,0.000172523961661342,0.363636363636364
"No",0.474707648192123,0.315013919242377,0.531017369727047,0.384793757486249,0.0150827852120662,0,0.363636363636364
"Yes",0.887808593574981,0.0135793917160995,0.409429280397022,0.345129141421777,0.215241551372193,0,0.272727272727273
"No",0.752229042519826,0.764218441044854,0.867245657568238,0.540558895698387,0.0214334316171467,0.04185303514377,0.909090909090909
"No",0.955956808100721,0.277410825788323,0.69106699751861,0.327897105511042,0.0284645044227716,0,0.818181818181818
"No",0.902370177875353,0.0166282911853471,0.641439205955335,0.251140235606052,0.104105239283284,0,0.0909090909090909
"No",0.670460146063892,0.00780680872099074,0.727047146401985,0.180879394355223,0.0316398276253119,0,0.545454545454545
"No",0.809355257852054,0.0594145137371214,0.409429280397022,0.45423590840902,0.0226808800181447,1.94888178913738e-05,0.818181818181818
"No",0.7551413593799,0.174764543656988,0.926799007444169,0.231291646800247,0.0359491948287594,0,0.727272727272727
"No",0.772704870289888,0.301802021542304,0.540942928039702,0.233149980811945,0.143796779315037,0,0.727272727272727
"No",0.75384201801156,0.00644496695806015,0.8287841191067,0.391036271237688,0.0616919936493536,0.119275825346113,0.0909090909090909
"Yes",0.558179129889332,0.470507792174004,0.640198511166253,0.425707341465967,0.0230210932184169,0.00108626198083067,0.545454545454545
"No",0.798915722030557,0.63006686439796,0.527295285359801,0.321301066390669,0.022567475618054,0.0082321618743344,0.454545454545455
"No",0.893409202921278,0.1391940498491,0.622828784119107,0.460003953902153,0.00975277840780223,0,0.727272727272727
"No",0.670460146063892,0.532502081382038,0.341191066997519,0.373850751822865,0.0611249716489,1.08626198083067e-06,0
"No",0.939961467807697,0.0169331811322718,0.640198511166253,0.42457001314091,0.031980040825584,0,0.0909090909090909
"No",0.783682064608629,0.00325378551358102,0.72332506203474,0.234164040422835,0.0395781356316625,0.000706070287539936,0.0909090909090909
"Yes",0.806577355616291,0.789625936621917,0.792803970223325,0.308667186100871,0.0110002268088002,0,0
"No",0.939558223934764,0.0159168813091893,0.53970223325062,0.456066332523171,0.000793830800635068,0,0.0909090909090909
"No",0.925041444509162,0.323144317827037,0.797766749379653,0.370599248758591,0.248128827398503,0,0.636363636363636
"Yes",0.691563242080738,0.660555859090436,0.663771712158809,0.284606528590201,0.371739623497392,1.69329073482428e-06,0.909090909090909
"Yes",0.793091088310408,0.0224212001769175,0.694789081885856,0.259359700433766,0.0343615332274892,0,0.181818181818182
"Yes",0.839688158071598,0.188992741180144,0.652605459057072,0.288799990696701,0.0576094352460875,0,0
"No",0.865943814687038,0.0309581186908107,0.739454094292804,0.430389226779547,0.0290315264232252,0,0.363636363636364
"No",0.94148483354989,0.0856350491726506,0.630272952853598,0.36743612703655,0.0257427988205942,0,0.363636363636364
"Yes",0.806353331242439,0.00150574981787907,0.949131513647643,0.272526194601761,0.318439555454752,0,1
